server_time_stamp,client_time_stamp,user_id,task_order,task_code,treatment,time_elapsed,time_elapsed_task_set,status,command
2022-03-08T16:52:09Z,2022-03-08T16:52:09Z,mernst,T2N1,,T,288,incomplete,
2022-03-08T16:52:37Z,2022-03-08T16:52:37Z,mernst,T2N1,,T,316,incomplete,
2022-03-08T17:10:03Z,2022-03-08T17:10:03Z,mernst,T2N1,v,T,0,incomplete,start_task
2022-03-08T17:10:03Z,2022-03-08T17:10:03Z,mernst,T2N1,v,T,0,incomplete,start_task
2022-03-08T17:10:15Z,2022-03-08T17:10:15Z,mernst,T2N1,v,T,12,success,mv README.md README.txt
2022-03-08T17:10:15Z,2022-03-08T17:10:15Z,mernst,T2N1,w,T,0,incomplete,start_task
2022-03-08T17:10:22Z,2022-03-08T17:10:22Z,mernst,T2N1,w,T,7,incomplete,expected
2022-03-08T17:10:47Z,2022-03-08T17:10:47Z,mernst,T2N1,w,T,31,success,cat css/*.css
2022-03-08T17:10:47Z,2022-03-08T17:10:47Z,mernst,T2N1,x,T,0,incomplete,start_task
2022-03-08T17:11:14Z,2022-03-08T17:11:14Z,mernst,T2N1,x,T,27,incomplete,find . -name '*glyph'
2022-03-08T17:12:11Z,2022-03-08T17:12:11Z,mernst,T2N1,x,T,83,incomplete,ls
2022-03-08T17:12:19Z,2022-03-08T17:12:19Z,mernst,T2N1,x,T,92,incomplete,find . -name '*glyph*'
2022-03-08T17:13:19Z,2022-03-08T17:13:19Z,mernst,T2N1,x,T,152,success,find . -name '*glyph*' | xargs rm 
2022-03-11T18:55:26Z,2022-03-11T18:55:26Z,mernst,T2N1,x,T,265479,success,find . -name '*glyph*' | xargs rm 
2022-03-11T18:55:29Z,2022-03-11T18:55:29Z,mernst,T2N1,x,T,265482,success,find . -name '*glyph*' | xargs rm 
2022-03-11T18:55:30Z,2022-03-11T18:55:30Z,mernst,T2N1,x,T,265483,success,find . -name '*glyph*' | xargs rm 
2022-03-11T18:55:30Z,2022-03-11T18:55:30Z,mernst,T2N1,x,T,265483,success,find . -name '*glyph*' | xargs rm 
2022-03-11T18:55:31Z,2022-03-11T18:55:31Z,mernst,T2N1,x,T,265483,success,find . -name '*glyph*' | xargs rm 
